,benchmark,Iteration 0,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29
1242,io.reactivex.rxjava3.internal.operators.flowable.FlowableTakeBenchmark.take,9122468.234195646,9423729.212475646,11222412.203544594,12047427.668262435,12448672.971046595,12002505.730501672,12250529.06213545,12150683.247851105,10661208.765838418,12546537.00614659,11655763.133203331,11694698.049118888,12656461.260942085,12697897.082831264,12698617.029012788,12691450.5920933,12734118.37138879,11255614.92098768,12256805.021186264,11693987.17515241,12328334.59671185,11786102.439839698,11576228.872646669,11489265.712653778,12545756.75890431,12733907.757080067,12652190.974389818,8342490.487724393,4615568.052852478,7321565.331096291
1243,io.reactivex.rxjava3.internal.operators.flowable.FlowableTakeBenchmark.take,5836853.781328657,6324713.10998373,6381737.157148883,6858308.191054806,7002219.307049,6956690.586238572,6887730.169396742,6840865.751824188,6686340.74548082,6449238.338656994,7039117.499869817,6490997.428711834,7040987.860436847,7060389.5996427005,6859360.47540555,7037217.849428774,6127345.884110789,6747038.020543817,6459766.094651044,7046135.969896022,7064456.167497667,6954365.527388708,7047661.9420714555,7033781.039159618,7025806.932362674,6399061.145546852,6893743.326700706,6430095.376769765,6995704.5418137945,6451204.265118456
1244,io.reactivex.rxjava3.internal.operators.flowable.FlowableTakeBenchmark.take,1149558.2555841808,1162917.1747524964,1206669.751177998,1215142.250404563,1212175.7277828811,1199332.3608075713,1193087.3261101951,1154628.3537493306,1210259.3635599143,1205187.6316053008,1212127.0477858828,1177011.9619864593,1164998.8917040194,1212364.1790276954,1154000.4213359556,1182950.726807639,1215373.197674862,1231598.133200692,1151354.6054606533,1220730.861720089,1219624.4465668397,1208434.8846045805,1209470.3715233312,1211618.7478011195,1179311.1223328253,1167324.400437821,1200697.9944369493,1211864.3871755681,1204101.5431417425,1209290.039829086
1245,io.reactivex.rxjava3.internal.operators.single.SingleFlatMapCompletableBenchmark.flatMapCompletable,18760059.762346618,22628413.47572432,24533624.884915553,24728337.80705019,23327587.931133527,23323197.363026366,23497537.046926398,23474359.80366435,25353894.375636913,25576111.446309596,24689825.539247595,23449315.645577576,23559514.23898291,23454147.670526147,23462019.291829396,25513929.849166334,24739874.428924974,21475118.979738627,23263484.286500525,23540893.11378928,25462056.319444675,25618379.718389407,25721349.2876631,24696427.380318373,23444080.525024492,24738482.034800168,24328166.195851553,23488031.40431092,23735137.67859907,25441455.97537671
1246,io.reactivex.rxjava3.internal.operators.single.SingleFlatMapCompletableBenchmark.flatMapCompletable,14212564.158180332,21066266.462640446,23855722.040443122,22283481.38433881,23231120.297524918,22632311.39702387,24161268.983922105,23456102.213416696,22815032.464703582,21370488.37312288,24959357.246172126,25558425.177253507,24830757.21839656,23535863.963471923,20977347.400035415,23489413.55070914,25578663.939814083,25689531.058917157,25798006.40338675,25699715.56610132,24487848.811841443,23587102.240484647,23459396.242305115,23511179.947287448,23673192.020736814,25440139.98392686,25714289.910937317,25336870.80284696,24639938.316386245,23280592.469370496
1247,io.reactivex.rxjava3.internal.operators.single.SingleFlatMapCompletableBenchmark.flatMapCompletable,16415379.534596335,21988742.812104177,23104606.549847,14918049.751013536,16301732.874001151,14574733.38298123,19107367.94591147,20189004.0066659,16247186.289414871,16862060.47861036,19016797.66241148,22148319.4881746,19536954.46582978,22686090.386301033,24206993.903672148,24445260.867217913,21839335.481618773,18488418.097930558,21677463.657713074,22956928.950896673,25170336.177316457,25454116.620175406,24800228.25019264,25517519.506962486,23201297.47239416,25545332.072496764,23290031.85550758,25559849.07320396,23388208.12842701,25577752.137672935
1248,io.reactivex.rxjava3.internal.operators.single.SingleFlatMapCompletableBenchmark.flatMapCompletable,19814519.0714958,21970327.60115085,24205446.82664416,25050038.770737298,25553657.149448756,24726679.626795307,25365680.05884429,23631916.894613113,23519645.71833025,25540751.737291615,23216931.856616158,23307273.940657347,25634973.54161669,25727766.768186886,24731890.999018963,25382218.812440634,22904959.41683638,22853220.045865543,23623193.501522653,25665475.140983846,23584889.731072854,25413283.967665218,25137349.47456559,25788801.206682045,25844030.237701673,25868273.274034742,25837612.783290233,25930807.1958923,25955630.20343243,25836125.199482366
1249,io.reactivex.rxjava3.internal.operators.flowable.FlowableFilterBenchmark.filterStandard,153505.7948005142,159638.74133924788,173221.71729343117,174176.05976733842,174281.4737943525,172789.78753892297,174086.2587923392,172418.2339100304,172270.56473686453,174249.10513150974,173911.76394084908,174127.3501201509,173737.32564120382,173551.99642974185,171826.09502727303,174518.6789669474,174001.81898869222,174206.76426683058,172817.11704292957,172820.13783745494,173093.17350084227,174195.75878639545,171070.7697089488,174019.5710144277,173979.43346210787,173819.75416662262,174668.93126441646,174625.78705929106,174397.51780211038,174143.34480669303
1250,io.reactivex.rxjava3.internal.operators.flowable.FlowableFilterBenchmark.filterStandard,18436.796184015246,18482.52038552944,18334.446049273618,18076.234033553916,18525.629147290023,18441.18384510346,18745.24374804034,18680.058059428065,18697.014577957034,18530.21924049639,17480.799173643743,18450.25104979065,18619.17042923987,18482.40647698256,18426.535029443945,18637.676352764272,18640.669122803592,18451.46830515652,18388.38644400516,18648.555613704862,18653.173431411007,18453.439772427584,18726.0154717497,18690.574840017118,18576.064023995736,18403.424501074962,18657.786984971786,18675.31666019765,18610.90589847683,18556.950627351813
1251,io.reactivex.rxjava3.internal.operators.flowable.FlowableFilterBenchmark.filterStandard,1831.1405798048368,1742.688338104409,1819.0000647414106,1880.6249152713274,1839.8505699151008,1827.4404815831108,1867.8209902988615,1861.9989595673533,1854.2214361983067,1861.1339827185634,1866.349631277639,1854.5368501703,1829.646667079408,1840.1390026409424,1833.0559505226975,1863.0734712058877,1847.9990236172077,1863.7608376043804,1847.907604548356,1863.7068036682435,1853.8142299735682,1862.1961104232876,1866.1446499206793,1852.8331875642973,1859.832246487455,1869.353231822088,1834.2846491639573,1865.61881336457,1733.4690815801953,1847.5221051521046
1252,io.reactivex.rxjava3.processors.BehaviorProcessorBenchmark.concurrentPublishSubscribe,2671.687784514509,2547.435657973973,2562.565416940592,2515.1604293880287,2639.1885973008916,2608.908231909835,2603.0379067775034,2606.4407594642084,2605.5772323689966,2442.4157015579203,2324.2505761036264,2529.0949718579227,2404.5747075786803,2600.4758688946686,2609.4365391492283,2521.134987871587,2647.445134293069,2493.5474462738594,2485.971988433483,2476.2021156780843,2670.755819552211,2503.9271664620064,2554.671077987928,2683.7361722780147,2734.4788739541173,2630.545455673558,2490.041909064691,2607.489520433156,2720.1177869182866,2741.251142271703
1253,io.reactivex.rxjava3.internal.operators.observable.ObservableWindowBenchmark.windowExact,1.6674944817959456,1.9744986899369024,1.8358395016324345,1.5966652267221153,1.7376651599690636,1.858607375101452,1.7650026867621025,1.4256658624803935,1.2946863921287626,1.8888496488769222,1.9808040046215645,1.9843448722809065,1.7628021793953468,1.8274670937571786,1.7098597048228668,2.150606535525371,1.6940077326625074,1.842794054960625,2.1511037555727532,2.0002767556248724,1.815120271321274,1.7699116594878357,2.2062377567547524,2.099819967735426,1.2484385318919917,1.9665668976476511,1.831652293686539,2.1600888380600463,2.1620355611508204,1.920771539199747
1254,io.reactivex.rxjava3.internal.operators.observable.ObservableWindowBenchmark.windowExact,1.9651283744920383,2.2049955799209853,1.731864193745982,1.701626144731553,1.7488531198311525,1.8624321911719597,1.9822800831541518,1.7595726742625373,1.86625656350536,1.8349145979001547,1.847654924220983,1.9118007838123208,2.176250067962476,1.9810300301852781,1.9850273279307744,1.9972427677457667,2.079664990593249,2.0896805842843875,2.173932717569355,1.9475359281736389,2.176318413096166,2.140806288661289,1.9685946848309668,1.9924779216360784,2.182232010774238,2.067595009750275,2.1605896810993035,2.1565165603403007,2.1138477487475322,2.082328362621875
1255,io.reactivex.rxjava3.internal.operators.observable.ObservableWindowBenchmark.windowExact,1.7890647983472519,1.9973694285100025,1.8202427947051878,1.7563314008231588,1.8007927332718883,1.9724421215484498,1.8126733543364895,1.5816503593545599,1.6797745254108467,1.723685658206808,1.8928382747072137,1.8363978076366778,2.0455033748743134,1.913729896397811,1.9219568842222878,2.055314279966609,2.118460605517561,2.1808166841827683,2.163333135799385,1.972939411620578,2.1841377726674227,1.5097669325304082,1.9099622809379984,1.798029786386195,1.9263701027791555,1.3368753596437026,1.454151255820075,1.9929394122573154,1.9469201275277852,2.1210673797883737
1256,io.reactivex.rxjava3.internal.operators.observable.ObservableWindowBenchmark.windowExact,1.9773499819320635,1.966016894675214,1.8371614006705541,1.53305252701476,1.582920841310397,1.2198875746121742,1.06426993248155,1.7266618656200383,1.5283949590523311,1.8180639382216346,1.6827937825845038,1.9290654470754818,1.165849274098785,1.1771038818947923,1.2300978040246644,1.8211001477240019,1.6428913873438953,1.9430083985109914,1.9297480602657346,1.5858023529761065,1.8899754865454457,1.8167432966163135,1.8025861497996354,1.9181223521777502,1.6332777292913423,1.8532890981395602,1.3065356743232441,1.374636793981783,1.7462352967806558,1.850920292237844
1257,io.reactivex.rxjava3.internal.operators.observable.ObservableWindowBenchmark.windowExact,1.934028085603866,1.9840504033243629,1.5095010775301732,1.9458919145229303,1.928525270283347,1.694435248014805,1.7999996113800838,1.6938245776246428,1.6655812379095771,1.666304705015707,1.9470369311492364,1.781908826904638,1.9228511304340365,2.007265903794911,1.7931321467993824,1.8715700624461329,2.0725488641788696,2.0228452755290176,1.5675005266997708,1.88793439191367,1.8345556139608759,1.8921368307944975,1.582928450970769,1.8774477706405717,1.8073330517978345,2.071837323819552,2.0782483474382225,2.021344669328906,1.834517051791968,1.5901711580089855
1258,io.reactivex.rxjava3.internal.operators.observable.ObservableWindowBenchmark.windowExact,1.9518696676036906,1.6937793158759398,1.8259032943076876,1.7333499253054883,1.709630263588392,1.6523079180892142,1.6327529057307497,1.7937085210846158,1.7532774736850956,1.7707461511077154,1.8677453757865035,1.7365404963748714,1.924997257769219,1.76862971273528,1.9658472724289786,1.6925632325100017,1.986845025572419,1.8214668352751158,1.8462886882859508,1.775626707823847,1.9077048720126906,1.6664764439355129,1.8985717940519233,1.791766532304812,1.883761895789188,1.8695053485145892,1.8788979793626543,1.8164305397029734,1.93545202091955,2.069765675804824
1259,io.reactivex.rxjava3.internal.operators.observable.ObservableWindowBenchmark.windowExact,1.1942231837157227,1.0889335012240116,1.2309580339762132,1.108826179491658,1.2301819820138757,1.042524807387326,1.1994146662123708,1.1532123884581194,1.2817482324009344,1.163986644549935,1.2340263350660206,1.1728834538986566,1.3567715611476445,1.1954359046149499,1.1207620453861602,1.3677266518356361,1.2067954439050295,1.2467404112206932,1.2651679570969703,1.3256079702279957,1.2159659734587933,1.1290416428589654,1.3734865072314968,1.2563335322502966,1.2412369717091032,1.1972794566118452,1.321714345187655,1.2492944461261788,1.2161765328689933,1.2454547068201862
1260,io.reactivex.rxjava3.internal.operators.observable.ObservableWindowBenchmark.windowExact,1.1839658603160026,1.0639070721601227,1.3400480011894267,1.0497969470672317,0.99426321064354,1.203431379996726,1.066755295541301,1.1917398532483203,1.1754913410248604,1.1720908329724002,1.1785304119039157,1.1827750331105304,1.126390428946985,1.2184751375588672,1.1547850896158556,1.134384853452947,1.2997852926268239,1.0875457463407507,1.3391802828340855,1.2106484634015684,1.1988017257470123,1.2541004515135974,1.3141738991887713,1.3279172396189682,1.1301832593906886,1.3267040840159348,1.1300942075913898,1.3037917019560437,1.0971297900888233,1.3572730981124357
1261,io.reactivex.rxjava3.internal.operators.observable.ObservableWindowBenchmark.windowExact,1.1234442805505884,1.168066313320572,1.02253591076714,1.0802077488813047,1.2704252952388508,1.120420593073028,1.2674451201792192,1.1270140278827463,0.9437366812034738,1.2084469044070323,1.1079337737107133,1.1887339974962148,1.212406840476988,1.3057962476458829,1.1865884091280632,1.290125566818361,1.222641432550578,1.135974852197673,1.3325234708735345,1.2397698108234316,1.2815710666928333,1.2298534357341773,1.2514470215978244,1.2140883958699844,1.2210159022638554,1.1466012138383677,1.287552433182822,0.974240012658885,1.2355473455466233,1.2724822643648837
1262,io.reactivex.rxjava3.internal.util.BackpressureHelperBenchmark.producedCancel,673.3329432415227,665.7185969833579,701.1786486592796,742.7796024987174,692.6633309270923,783.3044860482861,695.1021299789464,803.1477944927474,805.4840807199342,740.3766009468176,825.2620589671211,785.2772709611306,874.8949455089735,732.5732782334164,724.7185310931736,764.0635106272642,744.146811210122,802.692990640921,944.3744759485205,721.8310092845549,549.2640488041008,725.0352375215394,651.1059706298615,595.1384697205375,648.343804340754,568.2828632772416,648.7891430421118,704.2348360034713,700.994675712576,859.0691559390406
